"Arquivo","Namespace","Classe","Interface","Trait","Enum","Linhas","TamanhoKB"
"C:\zabbix\glpi\plugins\solpi\src\AI\Services\ConversationContext.php","namespace SOLPI\AI\Services;","final class ConversationContext",,,,"50","0,68"
"C:\zabbix\glpi\plugins\solpi\src\AI\Services\ConversationService.php","namespace SOLPI\AI\Services;","final class ConversationService",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\AI\Services\EmbeddingService.php","namespace SOLPI\AI\Services;","final class EmbeddingService",,,,"39","0,59"
"C:\zabbix\glpi\plugins\solpi\src\AI\Services\EntityResolver.php","namespace SOLPI\AI\Services;","final class EntityResolver",,,,"60","0,74"
"C:\zabbix\glpi\plugins\solpi\src\AI\Services\IntentDetector.php","namespace SOLPI\AI\Services;","final class IntentDetector",,,,"36","0,67"
"C:\zabbix\glpi\plugins\solpi\src\AI\Services\RAGService.php","namespace SOLPI\AI\Services;","final class RAGService",,,,"69","1,12"
"C:\zabbix\glpi\plugins\solpi\src\AI\Services\ResponseFormatter.php","namespace SOLPI\AI\Services;","final class ResponseFormatter",,,,"27","0,36"
"C:\zabbix\glpi\plugins\solpi\src\AI\Services\RetrieverService.php","namespace SOLPI\AI\Services;","final class RetrieverService",,,,"62","0,88"
"C:\zabbix\glpi\plugins\solpi\src\AI\Services\SimilarityService.php","namespace SOLPI\AI\Services;","final class SimilarityService",,,,"53","0,72"
"C:\zabbix\glpi\plugins\solpi\src\Assets\Entities\Asset.php","namespace SOLPI\Assets\Entities;","final class Asset",,,,"260","5,08"
"C:\zabbix\glpi\plugins\solpi\src\Assets\Repositories\AssetRepository.php","namespace SOLPI\Assets\Repositories;","final class AssetRepository",,,,"146","3,93"
"C:\zabbix\glpi\plugins\solpi\src\Assets\Services\AssetService.php","namespace SOLPI\Assets\Services;","final class AssetService",,,,"94","1,55"
"C:\zabbix\glpi\plugins\solpi\src\Companies\Entities\Company.php","namespace SOLPI\Companies\Entities;","final class Company extends BaseEntity",,,,"216","3,62"
"C:\zabbix\glpi\plugins\solpi\src\Companies\Repositories\CompanyRepository.php","namespace SOLPI\Companies\Repositories;","final class CompanyRepository extends BaseRepository",,,,"123","2,48"
"C:\zabbix\glpi\plugins\solpi\src\Companies\Services\CompanyService.php","namespace SOLPI\Companies\Services;","final class CompanyService extends BaseService",,,,"32","0,52"
"C:\zabbix\glpi\plugins\solpi\src\Contracts\ConfigInterface.php","namespace SOLPI\Contracts;",,"interface ConfigInterface",,,"18","0,35"
"C:\zabbix\glpi\plugins\solpi\src\Contracts\HttpClientInterface.php","namespace SOLPI\Contracts;",,"interface HttpClientInterface",,,"32","0,58"
"C:\zabbix\glpi\plugins\solpi\src\Contracts\LoggerInterface.php","namespace SOLPI\Contracts;",,"interface LoggerInterface",,,"24","0,68"
"C:\zabbix\glpi\plugins\solpi\src\Contracts\Entities\Contract.php","namespace SOLPI\Contracts\Entities;","final class Contract",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Contracts\Repositories\ContractRepository.php","namespace SOLPI\Contracts\Repositories;","final class ContractRepository",,,,"18","0,3"
"C:\zabbix\glpi\plugins\solpi\src\Contracts\Services\ContractService.php","namespace SOLPI\Contracts\Services;","final class ContractService",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Core\Application.php","namespace SOLPI\Core;","final class Application",,,,"99","1,87"
"C:\zabbix\glpi\plugins\solpi\src\Core\BaseEntity.php","namespace SOLPI\Core;","abstract class BaseEntity",,,,"106","1,56"
"C:\zabbix\glpi\plugins\solpi\src\Core\BaseRepository.php","namespace SOLPI\Core;","abstract class BaseRepository",,,,"138","1,95"
"C:\zabbix\glpi\plugins\solpi\src\Core\BaseService.php","namespace SOLPI\Core;","abstract class BaseService",,,,"36","0,52"
"C:\zabbix\glpi\plugins\solpi\src\Core\Bootstrap.php","namespace SOLPI\Core;","final class Bootstrap",,,,"47","0,76"
"C:\zabbix\glpi\plugins\solpi\src\Core\Cache.php","namespace SOLPI\Core;","final class Cache",,,,"59","0,75"
"C:\zabbix\glpi\plugins\solpi\src\Core\Collection.php","namespace SOLPI\Core;","final class Collection implements Countable, IteratorAggregate",,,,"39","0,58"
"C:\zabbix\glpi\plugins\solpi\src\Core\Config.php","namespace SOLPI\Core;","final class Config",,,,"113","2,14"
