"FullName","Length","Extension","LastWriteTime"
"C:\SOLPI\glpi\plugins\solpi\front\evolution.php","7211",".php","30/06/2026 13:40:20"
"C:\SOLPI\glpi\plugins\solpi\front\evolution.php.new","2370",".new","29/06/2026 03:54:30"
"C:\SOLPI\glpi\plugins\solpi\front\evolution.updated.php","2370",".php","29/06/2026 03:52:16"
"C:\SOLPI\glpi\plugins\solpi\front\glpi_tickets.php","3672",".php","13/06/2026 13:23:38"
"C:\SOLPI\glpi\plugins\solpi\front\import.php","10090",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\front\index.php","1084",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\front\knowledge.php","618",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\front\menu.php","2112",".php","13/06/2026 14:02:05"
"C:\SOLPI\glpi\plugins\solpi\front\settings.php","247",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\front\test.php","477",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\front\tickets.php","1618",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\front\whatsapp.php","508",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\front\zabbix.php","48",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\inc\bootstrap.php","634",".php","29/06/2026 02:30:35"
"C:\SOLPI\glpi\plugins\solpi\inc\includes.php","281",".php","29/06/2026 02:30:59"
"C:\SOLPI\glpi\plugins\solpi\inc\install.php","460",".php","30/06/2026 13:40:20"
"C:\SOLPI\glpi\plugins\solpi\inc\menu.php","582",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\inc\permissions.php","253",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\inc\uninstall.php","394",".php","30/06/2026 13:40:20"
"C:\SOLPI\glpi\plugins\solpi\install\install.php","402",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\install\uninstall.php","328",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\locales\en_GB.php","49",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\locales\pt_BR.php","49",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\logs\.gitkeep","0",".gitkeep","19/06/2026 10:00:38"
